"Formulas","regm","Features"
"~PC1 + PC2 + PC3 + PC5 + I(PC1^2) + I(PC2^2) + I(PC3^2) + I(PC5^2) + PC1:PC2 + PC1:PC3 + PC1:PC5 + PC2:PC3 + PC2:PC5 + PC3:PC5 -1",5,"lqp"
"~PC1 + PC2 + PC4 + PC5 -1",5,"l"
"~I(PC1^2) + I(PC2^2) + I(PC4^2) + I(PC5^2) -1",5,"q"
"~PC1 + PC2 + PC4 + PC5 + I(PC1^2) + I(PC2^2) + I(PC4^2) + I(PC5^2) -1",5,"lq"
"~PC1 + PC2 + PC4 + PC5 + I(PC1^2) + I(PC2^2) + I(PC4^2) + I(PC5^2) + PC1:PC2 + PC1:PC4 + PC1:PC5 + PC2:PC4 + PC2:PC5 + PC4:PC5 -1",5,"lqp"
"~PC1 + PC3 + PC4 + PC5 -1",5,"l"
"~I(PC1^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"q"
"~PC1 + PC3 + PC4 + PC5 + I(PC1^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"lq"
"~PC1 + PC3 + PC4 + PC5 + I(PC1^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) + PC1:PC3 + PC1:PC4 + PC1:PC5 + PC3:PC4 + PC3:PC5 + PC4:PC5 -1",5,"lqp"
"~PC2 + PC3 + PC4 + PC5 -1",5,"l"
"~I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"q"
"~PC2 + PC3 + PC4 + PC5 + I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"lq"
"~PC2 + PC3 + PC4 + PC5 + I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) + PC2:PC3 + PC2:PC4 + PC2:PC5 + PC3:PC4 + PC3:PC5 + PC4:PC5 -1",5,"lqp"
"~PC1 + PC2 + PC3 + PC4 + PC5 -1",5,"l"
"~I(PC1^2) + I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"q"
"~PC1 + PC2 + PC3 + PC4 + PC5 + I(PC1^2) + I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) -1",5,"lq"
"~PC1 + PC2 + PC3 + PC4 + PC5 + I(PC1^2) + I(PC2^2) + I(PC3^2) + I(PC4^2) + I(PC5^2) + PC1:PC2 + PC1:PC3 + PC1:PC4 + PC1:PC5 + PC2:PC3 + PC2:PC4 + PC2:PC5 + PC3:PC4 + PC3:PC5 + PC4:PC5 -1",5,"lqp"
